playlist_id	title	url	num_tracks	description	user	user_url	like	repost	last_modified	tracks_id	tracks_url
1052484982	Pop	https://soundcloud.com/pop-smoke-12345/sets/pop-smoke	34.0	Pop Smoke	Smoke	https://soundcloud.com/pop-smoke-12345	9985	656	2020-05-16T20:37:26.000Z	['656255261', '858182164', '610276575', '874723621', '752519617']	['https://soundcloud.com/biggavelipro/dior', 'https://soundcloud.com/wnderboi/moncler-prod-di', 'https://soundcloud.com/biggavelipro/pop-smoke-welcome-to-the-party', 'https://soundcloud.com/loveonfriday/tears-1', 'https://soundcloud.com/biggavelipro/element']
728553000	Fresh Pop Picks	https://soundcloud.com/soundcloud-shine/sets/ear-candy-pop-new-hot	50.0		Shine	https://soundcloud.com/soundcloud-shine	85.3K	3723	2019-03-13T22:18:50.000Z	['875168761', '871426135', '913865758', '871669597', '901705345']	['https://soundcloud.com/octobersveryown/drake-laugh-now-cry-later-feat', 'https://soundcloud.com/iamcardib/wap-feat-megan-thee-stallion', 'https://soundcloud.com/chloeangelides/stop-the-clock', 'https://soundcloud.com/uiceheidd/smile-with-the-weeknd-1', 'https://soundcloud.com/ariaraps/pretty-wit-it']
596076396	pop	https://soundcloud.com/bobby-satria-953458970/sets/pop	459.0		Bobsut_07	https://soundcloud.com/bobby-satria-953458970	21	1	2018-09-04T03:59:54.000Z	['180105926', '222272386', '89752609', '113314254', '66969823']	['https://soundcloud.com/slalu-ingt-kmyu/aurel-feat-rasya-cinta-surga', 'https://soundcloud.com/achmad-cayaki/aurel-ft-rasya-cinta-surga', 'https://soundcloud.com/chen-arisandi/satu-jam-saja-audy-cover', 'https://soundcloud.com/wiina-dolphin/sultan-diperjalanan', 'https://soundcloud.com/ozieofficial/samsons-tak-bisa-memiliki']
355562833	pop	https://soundcloud.com/mechelle-schmidt-morgan/sets/pop	445.0		Mechelle Schmidt-Morgan	https://soundcloud.com/mechelle-schmidt-morgan	902	86	2017-09-26T14:51:48.000Z	['274769218', '148379340', '107726521', '216648507', '263191606']	['https://soundcloud.com/djsnake/let-me-love-you', 'https://soundcloud.com/ffrr-records/oliver-heldens-x-becky-hill-gecko-overdrive-radio', 'https://soundcloud.com/r3hab/rihanna-what-now-r3hab-remix', 'https://soundcloud.com/itsfuckingcupid/cartoon-on-and-on-ft-daniel-levi', 'https://soundcloud.com/n-sync-official/bye-bye-bye']
608035413	pop	https://soundcloud.com/dessy-evollove-ndesz/sets/pop	485.0		kiki	https://soundcloud.com/dessy-evollove-ndesz	14	1	2018-09-21T23:35:41.000Z	['312707069', '93042359', '129281654', '312724462', '333531265']	['https://soundcloud.com/adek-syafri/repvblik-sayang-sampai-mati', 'https://soundcloud.com/aboutshena/fatin-shidqia-aku-memilih', 'https://soundcloud.com/amira-kk/maudy-ayunda-cinta-datang', 'https://soundcloud.com/adek-syafri/dadali-disaat-aku-pergi', 'https://soundcloud.com/rizky-septerina/geisha-band-sementara-sendiri']
334601259	pop	https://soundcloud.com/achmad-indrajit/sets/pop	500.0		indra	https://soundcloud.com/achmad-indrajit	1	2	2017-07-01T13:02:41.000Z	['64780091', '182492759', '192568526', '64097930', '156786868']	['https://soundcloud.com/ricky2nd/vagetoz-penyesalanku-original', 'https://soundcloud.com/fakta/victor-hutabarat-fatwa-pujangga', 'https://soundcloud.com/anima-indonesia-band/anima-bintang-orchestra', 'https://soundcloud.com/teoz-chank/la-luna-lara-hati', 'https://soundcloud.com/siska-andiska/astrid-mendua']
1020485044	pop	https://soundcloud.com/user-232466213/sets/pop	58.0		User 232466213	https://soundcloud.com/user-232466213	10	1	2020-03-28T11:06:05.000Z	['217813472', '501709422', '217813459', '464771997', '611913459']	['https://soundcloud.com/tylershawmusic/wicked-mix5', 'https://soundcloud.com/tylershawmusic/to-the-man-who-let-her-go-1', 'https://soundcloud.com/tylershawmusic/life-without-you-mix-3', 'https://soundcloud.com/tylershawmusic/with-you', 'https://soundcloud.com/tylershawmusic/to-the-man-who-let-her-go-3']
853836392	pop	https://soundcloud.com/sdr-amir-556987114/sets/pop	490.0		Sdr Amir	https://soundcloud.com/sdr-amir-556987114	4	0:00	2019-08-24T13:46:10.000Z	['644010822', '443697510', '618897120', '527558328', '275853672']	['https://soundcloud.com/palemvang-lokak/judika-cinta-karena-cinta', 'https://soundcloud.com/tri-suprastomo-nitihardjo/virzha-tentang-rindu', 'https://soundcloud.com/rhychardtekaje/andmesh-hanya-rindu-official-music-audio', 'https://soundcloud.com/ferryan-yudha/andmesh-kamaleng-cinta-luar', 'https://soundcloud.com/user-519211622/armada-band-harusnya-aku']
693046755	pop	https://soundcloud.com/sdr-amir/sets/pop	479.0		sdr	https://soundcloud.com/sdr-amir	3	7	2019-01-24T14:45:02.000Z	['525262008', '33961982', '187087666', '30396073', '36669490']	['https://soundcloud.com/heri-aditya-prakoso/dan-sheila-on-7-cover-by-putih-abu-abu', 'https://soundcloud.com/ghifaa/ari-lasso-hampa', 'https://soundcloud.com/riel-ginting/the-rain-terlatih-patah-hati', 'https://soundcloud.com/vj_van-de-bossky/dmasiv-apa-salahku', 'https://soundcloud.com/budaytoto/blackout-resiko-orang-cantik-1']
14075356	pop	https://soundcloud.com/sarahp23/sets/pop	488.0		sarahp23	https://soundcloud.com/sarahp23	179	23	2013-11-08T02:45:11.000Z	['262925298', '256193702']	['https://soundcloud.com/harlem_fetty/trap-queen', 'https://soundcloud.com/harlem_fetty/679-feat-monty-1']
